# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.42
2                       4.85
4                       9.79
8                      20.18
16                     39.20
32                     79.05
64                    158.33
128                   311.93
256                   592.59
512                  1171.23
1024                 2174.92
2048                 4080.74
4096                 7085.99
8192                 4409.55
16384                6897.52
32768                9536.92
65536               11664.15
131072              13402.36
262144              13397.45
524288              14265.03
1048576             14912.87
2097152             15699.27
4194304             16002.05
