# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       0.16
2                       0.33
4                       0.66
8                       1.32
16                      2.64
32                      5.11
64                      9.92
128                    19.44
256                    22.08
512                    44.06
1024                   63.93
2048                  133.48
4096                  256.18
8192                  487.73
16384                 862.39
32768                1439.74
65536                2088.33
131072               3222.56
262144               4086.21
524288               4851.19
1048576              5443.49
2097152              5646.57
4194304              5711.67
