# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       2.53
2                       5.06
4                      10.14
8                      20.24
16                     40.11
32                     81.17
64                    161.57
128                   319.15
256                   596.21
512                  1137.74
1024                 2345.77
2048                 4095.93
4096                 6687.62
8192                10827.83
16384               17601.57
32768               20030.57
65536               13511.32
131072              15021.72
262144              17526.17
524288              18069.45
1048576             18786.96
2097152             18221.08
4194304             17856.92
