# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       1.31
2                       1.32
4                       1.31
8                       1.32
16                      1.32
32                      1.32
64                      1.32
128                     1.32
256                     1.35
512                     1.41
1024                    1.44
2048                    1.53
4096                    1.68
8192                    4.23
16384                   5.20
32768                   7.13
65536                  11.94
131072                 21.84
262144                 43.40
524288                 63.83
1048576               109.44
