# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       0.84
2                       0.84
4                       0.83
8                       0.83
16                      0.80
32                      0.78
64                      0.73
128                     0.74
256                     0.78
512                     0.84
1024                    0.89
2048                    1.04
4096                    1.31
8192                    1.84
16384                   2.75
32768                   4.49
65536                   8.23
131072                 16.00
262144                 29.63
524288                 62.83
1048576               133.22
