# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                      18.70
1                      18.74
2                      18.71
4                      18.70
8                      18.70
16                     18.71
32                     18.72
64                     18.92
128                    18.84
256                    24.70
512                    28.59
1024                   33.19
2048                   29.73
4096                   30.65
8192                   31.98
16384                  35.27
32768                  44.92
65536                  66.98
131072                 85.65
262144                125.78
524288                192.74
1048576               313.96
2097152               546.49
4194304               979.42
