# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.45
1                       0.44
2                       0.44
4                       0.44
8                       0.43
16                      0.44
32                      0.50
64                      0.49
128                     0.51
256                     0.55
512                     0.56
1024                    0.59
2048                    0.73
4096                    0.93
8192                    1.28
16384                   1.96
32768                   3.17
65536                   3.66
131072                  5.17
262144                 12.26
524288                 23.47
1048576                48.29
2097152                99.93
4194304               204.04
