# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.79
2                       6.80
4                       6.81
8                       6.77
16                      6.81
32                      6.76
64                      6.72
128                     7.35
256                     9.11
512                     9.41
1024                    9.90
2048                   10.25
4096                   10.60
8192                   12.12
16384                  14.11
32768                  23.45
65536                  31.05
131072                 48.71
262144                 78.15
524288                137.28
1048576               168.84
