# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.19
2                       2.62
4                       5.20
8                      10.40
16                     20.88
32                     41.51
64                     83.82
128                   167.26
256                   309.28
512                   646.33
1024                 1290.18
2048                 2566.46
4096                 5054.34
8192                10112.71
16384               19434.70
32768               20927.71
65536               22227.83
131072              23206.04
262144              23653.21
524288              23855.83
1048576             23959.27
2097152             24011.75
4194304             24038.74
