# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                      49.40
2                      49.36
4                      49.36
8                      49.20
16                     48.96
32                     49.21
64                     50.06
128                    49.76
256                    81.60
512                    79.94
1024                  106.52
2048                   97.46
4096                  100.47
8192                   99.35
16384                 108.44
32768                 146.46
65536                 227.77
131072                310.82
262144                466.64
524288                727.61
1048576              1247.21
