# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       0.96
1                       0.97
2                       0.95
4                       0.93
8                       0.92
16                      0.93
32                      0.94
64                      0.95
128                     0.95
256                     1.00
512                     1.03
1024                    1.07
2048                    1.09
4096                    1.19
8192                    2.71
16384                   3.35
32768                   4.66
65536                   6.82
131072                 12.12
262144                 24.13
524288                 42.99
1048576                73.43
2097152               136.78
4194304               265.59
