# OMB Python MPI Latency Test
# Size (B)      Latency (us)
0                       2.40
1                       2.40
2                       2.39
4                       2.41
8                       2.43
16                      2.41
32                      2.42
64                      2.42
128                     2.96
256                     3.24
512                     3.21
1024                    3.20
2048                    3.36
4096                    3.68
8192                    3.85
16384                   4.27
32768                   6.78
65536                   8.17
131072                 10.89
262144                 16.43
524288                 27.20
1048576                48.92
2097152                92.48
4194304               179.46
