# OMB-Py MPI Bandwidth Test
# Size (B)  Bandwidth (MB/s)
1                       1.14
2                       2.40
4                       4.86
8                       9.98
16                     20.65
32                     41.06
64                     82.56
128                   166.10
256                   312.14
512                   655.60
1024                 1308.85
2048                 2602.45
4096                 5100.31
8192                10221.59
16384               19115.46
32768               20567.37
65536               22023.93
131072              23053.28
262144              23539.40
524288              23782.28
1048576             23885.66
2097152             23944.84
4194304             23978.24
