# OMB Python MPI Allgather Test
# Size (B)      Latency (us)
1                       6.81
2                       6.79
4                       6.82
8                       6.79
16                      6.80
32                      6.82
64                      6.77
128                     7.40
256                     8.83
512                     9.65
1024                    9.93
2048                   10.26
4096                   10.58
8192                   12.19
16384                  14.02
32768                  23.52
65536                  31.88
131072                 51.17
262144                 86.41
524288                157.37
1048576               146.20
